clock_name,description,modality,year,n_features,citation,doi
ARIC_PAC_latelife,ARIC Proteomic Aging Clock — late-life model (136 SomaScan aptamers),proteomics,2021,136,"Tanaka T, et al. ""Plasma proteomic biomarker signature of age predicts health and life span."" eLife 9 (2020): e61073.",https://doi.org/10.7554/eLife.61073
ARIC_PAC_midlife,ARIC Proteomic Aging Clock — midlife model (789 SomaScan aptamers),proteomics,2021,789,"Tanaka T, et al. ""Plasma proteomic biomarker signature of age predicts health and life span."" eLife 9 (2020): e61073.",https://doi.org/10.7554/eLife.61073
Argentieri2024_ProtAge20,ProtAge 20-protein aging signature (UK Biobank Olink),proteomics,2024,20,"Argentieri MA, et al. ""Proteomic aging clock predicts mortality and risk of common age-related diseases in diverse populations."" Nat Med 30 (2024): 2450-2460.",https://doi.org/10.1038/s41591-024-03164-7
Argentieri2024_ProtAge204,ProtAge 204-protein aging signature (UK Biobank Olink),proteomics,2024,204,"Argentieri MA, et al. ""Proteomic aging clock predicts mortality and risk of common age-related diseases in diverse populations."" Nat Med 30 (2024): 2450-2460.",https://doi.org/10.1038/s41591-024-03164-7
Lehallier2019_9,9-protein plasma aging clock,proteomics,2019,10,"Lehallier B, et al. ""Undulating changes in human plasma proteome profiles across the lifespan."" Nat Med 25.12 (2019): 1843-1850.",https://doi.org/10.1038/s41591-019-0673-2
Lehallier2020_491,491-protein plasma aging clock,proteomics,2020,492,"Lehallier B, et al. ""Undulating changes in human plasma proteome profiles across the lifespan."" Nat Med 25.12 (2019): 1843-1850.",https://doi.org/10.1038/s41591-019-0673-2
RNAAgeCalc_blood,"Transcriptomic age predictor for blood (RNAAgeCalc, 891 genes)",transcriptomics,2021,891,"Ren X, Kuan PF. ""RNAAgeCalc: A multi-tissue transcriptomic age calculator."" PLoS ONE 15.8 (2020): e0237006.",https://doi.org/10.1371/journal.pone.0237006
Tanaka2020_76,76-protein plasma aging clock (SomaScan),proteomics,2020,77,"Tanaka T, et al. ""Plasma proteomic biomarker signature of age predicts health and life span."" eLife 9 (2020): e61073.",https://doi.org/10.7554/eLife.61073
Weidner2014,Minimalist 3-CpG age predictor from blood,methylation,2014,4,"Weidner CI, et al. ""Aging of blood can be tracked by DNA methylation changes at just three CpG sites."" Genome Biol 15.2 (2014): R24.",https://doi.org/10.1186/gb-2014-15-2-r24
abec,ABEC blood-based EPIC age estimator,methylation,2020,1696,"Lee, Yunsung, et al. ""Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array."" BMC genomics 21 (2020): 1-13.",https://doi.org/10.1186/s12864-020-07168-8
